,precision,recall,f1-score,support
0,0.9950248756218906,1.0,0.9975062344139651,400.0
1,0.9950124688279302,0.9975,0.9962546816479401,400.0
2,1.0,1.0,1.0,400.0
3,1.0,0.88,0.9361702127659575,400.0
4,0.9950248756218906,1.0,0.9975062344139651,400.0
5,0.8963963963963963,0.995,0.943127962085308,400.0
6,1.0,0.9975,0.9987484355444305,400.0
accuracy,0.9814285714285714,0.9814285714285714,0.9814285714285714,0.9814285714285714
macro avg,0.983065516638301,0.9814285714285713,0.9813305372673666,2800.0
weighted avg,0.9830655166383011,0.9814285714285714,0.9813305372673665,2800.0
