,precision,recall,f1-score,support
0,0.9970674486803519,0.85,0.9176788124156545,400.0
1,1.0,0.95,0.9743589743589743,400.0
2,0.7005253940455342,1.0,0.82389289392379,400.0
3,1.0,0.4475,0.6183074265975821,400.0
4,1.0,0.9625,0.9808917197452229,400.0
5,0.7561436672967864,1.0,0.8611410118406889,400.0
6,0.963855421686747,1.0,0.9815950920245399,400.0
accuracy,0.8871428571428571,0.8871428571428571,0.8871428571428571,0.8871428571428571
macro avg,0.9167988473870599,0.8871428571428571,0.879695132986636,2800.0
weighted avg,0.9167988473870599,0.8871428571428571,0.8796951329866362,2800.0
